durofel_inf_65,durofel_65_70,durofel_sup_75,durofel_70_75,color_red,color_red_brown,color_brown,color_black,color_dark_brown,brix_red,brix_dark_brown,brix_brown,brix_black,Temperature_Outside,Temperature_Frut,Variety
7.1,14,64.3,14.6,0,5.9,82,0,12.1,0,0,22.1,0,27,17.6,1
7.2,10.7,50,32.1,4.4,17.4,73,0,5.2,0,0,20,0,29,27,3
0,7.6,76.9,15.5,2.8,11.1,77.1,0,9,0,0,21.5,0,29,28,3
0,9,55,36,0,6,82,0,12,0,0,20.7,0,23,20.5,3
0,4.7,83,12.2,0,0,83,0,17,0,22.2,21.6,0,28,21.9,3
0,6,50,44,3,44,43,0,10,0,0,26.6,0,30.2,27,5
3,21,35,41,0,24,76,0,0,0,0,20.6,0,29.2,22.1,5
6,11,47,36,9,29,59,0,3,0,0,22.1,0,27.1,25.2,5
0,14,54,32,6,18,76,0,0,0,0,22.7,0,27.5,23.2,5
15,15,50,21,0,32,58,3,7,0,0,21.6,0,25,15.8,5
0,6,68,26,0,45,50,0,5,0,0,23.3,0,25.6,20.6,5
3,3,76,18,0,21,76,0,3,0,0,22.8,0,27.3,20.6,5
0,6,65,29,0,32,68,0,0,0,0,20.8,0,30,24,5
3.5,11,57,28.5,20.6,63.7,15.7,0,0,15.7,0,20.6,0,27.1,24.2,1
17.8,35.7,10.8,35.7,11.3,54.9,33.8,0,0,15.7,0,20.5,0,29.2,28.8,1
7.1,7.1,75.1,10.7,0,1.5,89.8,0,8.7,0,0,22.7,0,20,16.3,5
0,17.9,64.2,17.9,0,10,81.6,0,8.4,0,0,22.1,0,19.5,14,5
0,7,82,11,0,6,79,0,15,0,22.6,21.1,0,24,19.6,13
0,3,88,9,0,15,82,0,3,0,0,26.1,0,26.2,20.3,13
3,9,79,9,0,23,77,0,0,0,0,22.7,0,28.1,23,13
7,11,68,14,0,14.2,73.5,0,12.3,0,0,23.2,0,25.4,19.6,5
0,3,79,18,12,32,47,3,6,0,0,20.9,0,28,22.7,5
0,3,82,15,0,0,65,0,35,0,22.4,18.9,0,30,22.7,5
0,3,91,6,0,9,59,0,32,0,22.8,20.5,0,21.7,20.7,5
0,12,59,29,0,0,64,3,33,0,23.4,21.6,0,27,17.7,5
10.7,10.7,46.4,32.2,0.7,13.2,82.6,0,3.5,0,0,20.4,0,22.5,21.3,1
14.3,25,32.1,28.6,1.8,15.4,72.8,0,10,0,0,20.9,0,28.2,26,1
6.9,20.7,48.3,24.1,2.3,27.3,65.4,0,5,0,0,20.9,0,24,17.4,1
3.6,21.4,50,25,1.5,35.6,60,0,2.9,0,0,20.4,0,28.7,20,1
0,3,91,6,0,0,26,3,71,0,24.2,23.9,0,32,20.5,15
3,3,88,6,0,0,26,0,74,0,23.3,22.5,0,23,21.3,15
3,6,79,12,0,0,15,20,65,0,24.3,0,25.9,31.1,19,15
3.6,10.7,57.1,28.6,0.4,9.4,81.7,0,8.5,0,0,20.9,0,25,18.5,3
0,10.7,75,14.3,0,9,71,0,20,0,0,21.2,0,27.4,24.5,3
10.7,14.3,46.4,28.6,1.9,18.2,74.9,0,5,0,0,21.9,0,30,25,3
0,10.7,75.1,14.2,0,20.6,69.6,0,9.8,0,0,21.1,0,19.5,15.1,3
14.3,17.9,42.8,25,0,12,79,0,9,0,0,23.9,0,22.3,18.7,3
0,6,66,28,18,21,56,0,5,0,0,21.4,0,27,23,5
3,6,85,6,0,0,15,18,67,0,23.4,21.4,0,28.9,18,15
3,3,86,8,0,0,2,18,80,0,22.8,0,25.1,29.4,23,15
10.7,10.7,32.2,46.4,0,0,26,22,52,0,22.1,19.2,0,26,22.9,3
8.8,23.5,38.2,29.5,0,3,62,0,35,0,19.7,17.6,0,28,23.2,3
0,7.1,64.3,28.6,0,10,75.8,0,14.2,0,21.2,19.8,0,26.7,20,3
0,3,85,12,0,0,3,53,44,0,21.2,0,24.9,24.8,19.4,2
3,6,79,12,0,0,3,38,59,0,19.6,0,23.1,24.2,19,2
0,6,79,15,0,0,0,70,30,0,19.4,0,23.3,27.8,18.7,2
3,6,79,12,0,0,0,71,29,0,23.1,0,27.6,26.8,18,2
0,0,82.1,17.9,0,5,79.6,0,15.4,0,22.1,20,0,27.5,22,5
8.8,20.7,38.2,32.3,0,15.5,67.1,0,17.4,0,0,16.6,0,25.7,16,5
14.7,20.5,38.4,26.4,0,7,75.1,0,17.9,0,20.5,17.7,0,23,15,5
3,9,76,12,0,0,29,0,71,0,22,19.3,0,21.5,19.7,15
3.6,14.3,53.5,28.6,0,5.3,67.5,0,27.2,0,21.5,19.6,0,27.4,20,3
7.1,7.1,60.8,25,0,5.9,59.1,0,35,0,21.7,18.2,0,26.2,22,3
0,10.7,75,14.3,0,16.7,53.3,0,30,0,21.3,18.9,0,28.3,23,3
7.1,18.6,25,39.3,0,0,7.8,19.4,72.8,0,18.3,0,21.5,26,24,3
0,3,82,15,19,25,56,0,0,0,0,21.2,0,23.4,20,5
0,15,68,18,12,41,38,0,9,0,0,20.9,0,26.5,16,5
10.7,21.4,42.9,25,0,7,76.5,0,16.5,0,19.9,18.5,0,24,19.6,5
3,15,53,29,0,0,71,8,21,0,22.4,19.8,0,28.6,24,5
0,18,58,24,0,6,74,0,20,0,20.7,18.7,0,24.5,19,5
12,15,56,18,0,9,71,0,20,0,22,17.9,0,18.6,17,5
9,12,44,35,0,12,73,0,15,0,21.5,18.7,0,23,18,5
9,18,53,20,0,15,75,0,10,0,0,22.1,0,25.4,22,5
3,21,50,26,0,21,61,0,18,0,0,22.7,0,25.4,21,5
3,9,47,41,0,6,76,0,18,0,18.7,16.4,0,27.7,19.1,5
9,24,35,32,0,18,55,0,27,0,20.3,18.9,0,26.9,24.5,5
16,22,15,47,0,3,68,0,29,0,20.2,18.7,0,25,20,5
15,18,41,26,0,3,35,0,62,0,18.4,17.9,0,27.7,20.8,5
9,18,38,35,0,12,38,0,50,0,20.5,19.2,0,27.2,19,5
3.6,14.3,53.5,28.6,0,11.5,83.5,0,5,0,0,21.3,0,23,20,5
0,11,46,43,0,16,79.1,0,4.9,0,0,21.4,0,26.4,23.6,5
3.5,25,43,28.5,0,4.3,88.9,0,6.8,0,21.8,19.7,0,25.2,18,5
0,7,79,14,0,3.9,84.9,0,11.2,0,20.4,19.3,0,23.5,21.5,5
3,3,83,10,6,15,79,0,0,0,0,21.1,0,26.2,21,5
4,14,61,21,0,11.9,85.4,0,2.7,0,0,26.3,0,19.8,18,13
4,21,54,21,0,12,82,0,6,0,0,24,0,27.4,21.6,13
3.5,14.2,60.9,21.4,0,11.6,71.5,0,16.9,0,22.8,21,0,29.4,26,13
0,10,77,13,0,9.6,74.8,0,15.6,0,23.1,18.9,0,24,18,13
0,0,97,3,0,41,56,0,3,0,0,23.8,0,0,28.8,13
0,3,82,15,0,24,70,0,6,0,0,23.6,0,30.2,20,13
0,10.7,78.6,10.7,2.8,15.6,76.7,0,4.9,0,0,20.7,0,19.2,16.5,12
3.6,21.4,53.6,21.4,4.8,22.9,69.8,0,2.5,0,0,21.5,0,19.2,22.1,12
13.3,19.2,26.9,40.6,4.1,82,10.3,0,3.6,0,0,22.7,0,19,19,12
3.6,3.6,67.8,25,0,4.5,76.3,0,19.2,0,23.5,18,0,23,15.3,12
0,3.6,42.8,53.6,1.7,18.7,71.4,0,8.2,0,0,23.3,0,28,22,12
0,7.1,71.5,21.4,3,9,85,0,3,0,0,23.3,0,26,24,12
0,0,46.4,53.6,0,11,56,4,29,0,21,17.4,0,28,25,12
7.1,7.1,71.5,14.3,0,6.9,75.1,0,18,0,23,20,0,28,20.2,12
0,6,85,9,0,15,55,6,24,0,20.7,18.6,0,29,20,2
0,0,77,23,0,0,32,12,56,0,24,19.8,0,27.8,19.5,2
0,3,85,12,0,0,47,21,32,0,24,22.4,0,28,20,2
0,3,88,9,0,0,0,32,68,0,22.5,0,25.6,26.6,20,2
3,9,53,35,0,3,71,0,26,0,21.4,17.4,0,26.8,20,5
3,12,53,32,0,3,82,0,15,0,21.9,20.3,0,28,19.6,5
0,12,71,18,0,3,79,0,18,0,23.3,20.4,0,26.2,21,5
3,6,65,26,0,15,67,0,18,0,21.4,19.7,0,20,17.5,5
0,3,88,9,0,33,67,0,0,0,0,21.8,0,18.3,16.4,15
3,6,82,9,0,0,65,0,35,0,22.2,21.8,0,24.4,17.6,15
0,3,79,18,0,0,56,0,44,0,24.4,22,0,26.6,20,15
0,3,85,12,0,0,44,0,56,0,22.3,19.9,0,27.2,22,15
0,6,82,12,0,0,21,0,79,0,23.2,22.2,0,21.4,15.6,15
3,3,88,6,0,0,47,0,53,0,22.5,19.3,0,25,18.6,15
0,6,82,12,0,0,62,0,38,0,21.1,20.8,0,28.5,21.4,15
0,3,88,9,0,0,35,3,62,0,20,18.8,0,28.9,25,15
3,3,85,9,0,0,6,9,85,0,22.3,18.7,0,28.8,25,15
3,3,85,9,0,0,3,15,82,0,20.2,0,22.4,22,17,15
3,15,68,15,0,41,56,0,3,0,0,24,0,27.5,18,15
0,3,88,9,0,3,9,3,85,0,24.6,23,0,28.8,19.9,15
0,3,81,16,0,0,18,3,79,0,23.5,18.3,0,30.6,20,15
0,6,65,29,1,18,72,0,9,0,0,20.2,0,26.5,21,3
0,4,78,18,2,12,84,0,2,0,0,21.2,0,29.1,23.6,3
0,7,55,38,0,9,77,0,14,0,0,19.8,0,30,25,3
0,12.9,64.6,22.5,0,18,62,0,20,0,0,20.4,0,28.4,23.8,3
3.6,17.9,42.8,35.7,0.7,8,82.1,0,9.2,0,0,19.5,0,19.4,17.5,3
0,2.3,81.1,16.6,0,8.7,73.2,1.5,16.6,0,0,21.5,0,25,21.5,3
0,17.9,57.1,25,0,7.3,70.8,0,21.9,0,0,20.9,0,26,24,3
7.1,10.7,50.1,32.1,1.1,17,64.8,0,17.1,0,0,20.8,0,28,24.9,3
3.6,13.6,50,42.8,1.7,20.5,69.7,0,8.1,0,0,20.3,0,27,14.1,3
0,6,82,12,0,0,82,0,18,0,20.9,18.1,0,20.5,16,18
3,6,71,21,0,21,73,0,6,0,0,20.3,0,21.8,18.6,18
9,29,6,56,0,3,91,0,6,0,23.2,21.1,0,30.8,22.7,18
3,3,82,12,0,0,30,0,70,0,22.8,21.7,0,28,17,16
0,3,71,26,0,9,32,0,59,0,20.7,18.4,0,26.5,17,16
3,9,76,12,0,0,55,3,42,0,21.2,20.9,0,27.2,18.5,16
3,12,73,12,0,3,36,6,55,0,22.4,18.2,0,28.6,18.8,16
0,3,88,9,0,0,30,0,70,0,23.7,20.8,0,29.5,18.4,16
6,6,65,24,0,3,45,0,52,0,22.8,19.9,0,30,23.6,16
3,6,70,21,0,3,30,3,64,0,21.9,20.6,0,20.3,18.6,16
0,0,79.3,20.7,4.6,61.4,28,0,6,0,0,19.6,0,24,19,3
14.3,25,35.7,25,2.2,18.4,69.4,0,10,0,0,19,0,28.4,23,3
0,9,69,22,7,21,70,0,2,0,0,19.8,0,26,19.5,3
0,0,73,27,4,20,70,0,6,0,0,22,0,29,26.8,3
0,10.7,46.4,42.9,0,18.1,71.9,0,10,0,0,20.3,0,19.2,16.8,3
0,3.6,64.3,32.1,0,27.3,62.7,0,10,0,0,21.1,0,20,16.9,3
3.6,21.4,53.6,21.4,0,18.8,65.4,0,15.8,0,0,20,0,17.2,15.5,3
10.7,14.3,46.4,28.6,0,10.1,72.8,0,17.1,0,21.4,18.4,0,19,17.5,3
7.1,7.1,71.5,14.3,24,58,18,0,0,0,0,26.5,0,22,18,13
7.1,7.1,75,10.7,0,13.8,76.8,0,9.4,0,0,25,0,25,18.6,13
7,18,54,21,0,19.4,73.2,0,7.4,0,0,24.9,0,25.4,20,13
0,7.1,71.5,21.4,0,6,81,0,13,0,24.1,19.4,0,28,14,13
0,12,74,15,0,6,65,3,26,0,25.8,23.9,0,30,14,13
0,11,82,7,0,18,76.6,0,5.4,0,0,20.1,0,26,21,5
0,0,92.4,7.6,3,56,41,0,0,0,0,20.9,0,28.6,18.3,5
0,6,76,18,12,29,59,0,0,0,0,21,0,30.2,15.2,5
3.5,28.5,25,43,0,14.2,77.8,0,8,0,0,20.8,0,28.7,28,1
14.2,25,32.3,28.5,1.3,21.1,74.9,0,2.7,0,0,23,0,28,16.2,1
0,32,16,51,3,31,64,1,1,0,0,20,0,30,19.7,1
0,12,60,28,0,15.1,76,0,8.9,0,0,22.6,0,28,21.6,1
9.7,17.8,44,28.5,0,20,72.5,0,7.5,0,0,21,0,27.5,17,1
3.6,21.4,39.3,35.7,0,11.7,61.7,0,26.6,0,22.3,19.7,0,19.5,13,1
3.1,15.6,59.5,21.8,0,10.8,82,0,7.2,0,0,20.7,0,28.9,23,3
0,7.4,70.4,22.2,0,14.4,68.7,0,16.9,0,0,20.6,0,28,17.2,3
7.1,10.7,71.5,10.7,0,8.5,76.7,0,14.8,0,0,22.6,0,28,16.9,3
7.1,10.7,60.8,21.4,6,56,38,0,0,0,0,22.8,0,24,17.4,11
0,6.8,72.6,20.6,7.2,72.8,20,0,0,0,0,22.2,0,27.2,12.3,11
0,6,76,18,3,24,73,0,0,0,0,20.5,0,27.5,24,5
0,3,91,6,0,13,71,0,16,0,22.8,21.2,0,25,15,5
0,3,79,18,9,50,38,0,3,0,0,21.5,0,27.2,24,5
0,9,72,19,0,37,50,0,13,0,0,22.1,0,28,23.3,5
0,14.2,68,17.8,2.4,12.1,68.5,0,17,0,0,23.6,0,22.4,16.4,3
0,12,62,26,0,0,62,0,38,0,23.9,20.7,0,26.2,20.8,18
0,3,76,21,0,3,65,0,32,0,24.4,19.2,0,28.2,20,18
0,3,82,15,0,30,70,0,0,0,0,22.2,0,27.5,20.2,16
0,3,82,15,0,9,76,3,12,0,24.4,21.3,0,27.5,23.5,16
0,6,82,12,0,0,56,18,26,0,24.1,22.5,0,27.5,19.4,16
6,9,73,12,0,0,31,0,69,0,25.3,22.5,0,25,16,2
0,0,96.4,3.6,0,20,64,5,11,0,0,23.5,0,27.8,21,5
0,0,93,7,0,10.6,79.4,0,10,0,0,24.5,0,27.7,18,5
3,9,68,21,0,9,76,3,12,0,23.2,20.7,0,29.7,24.7,5
0,0,89.3,10.7,0,7.9,72.2,0,19.9,0,22.7,20.4,0,28.6,20.8,5
3,9,68,21,9,16,55,3,17,0,27.6,24.5,0,25.2,19.6,5
3,6,79,12,0,19,61,0,20,0,23.7,22.9,0,26.1,21,5
0,6,79,15,6,22,63,0,9,0,0,27.7,0,28.6,20.6,5
0,9,70,21,0,35,62,0,3,0,0,21.4,0,27.1,21,5
12,18,50,21,0,15,82,0,3,0,0,23.8,0,26.2,19.9,5
0,6,68,26,0,19,72,0,9,0,0,23.2,0,27.7,21.6,5
0,9,79,15,0,5,86,0,9,0,24.8,22.2,0,26.5,18,5
0,6,82,12,0,6,74,0,20,0,24.5,22.9,0,24.2,19.8,5
0,3,74,24,0,3,77,0,20,0,0,26.4,0,24.5,18.6,5
0,0,79,21,0,0,29,6,65,0,23,21.6,0,27.5,20.6,5
35,41,6,18,0,0,16,6,78,0,23.5,20.5,0,28.2,21.1,5
47,41,3,9,0,0,6,6,88,0,23.2,19.6,0,30.1,23.2,5
17.9,32.1,14.3,35.7,0,16.1,72.7,0,11.2,0,0,24.6,0,30,23,1
7.1,10.7,39.3,42.9,2.4,27,67.8,0,2.8,0,0,21.1,0,28.1,27,1
11,21,44,24,0,0,41,6,53,0,26.6,20.2,0,26.8,20,15
15,18,47,21,0,0,16,0,84,0,22,20.1,0,27.5,20.4,15
3,6,82,9,0,0,82,0,18,0,24,21.5,0,27.4,20.1,15
0,0,79,21,0,3,44,0,53,0,24.8,22.8,0,30.1,22.4,15
0,3,85,12,0,3,50,0,47,0,25.3,23.3,0,21.8,20.3,15
0,3,88,9,0,0,74,0,26,0,24.2,21.6,0,27.8,18.6,15
7.1,7.1,67.9,17.9,0,20,55.8,0,24.2,0,0,23.5,0,28,21,3
3.6,10.7,50,35.7,1.7,15.5,69.7,0,13.1,0,0,23.7,0,28,24,3
7.1,7.1,67.9,17.9,1.9,23.4,64.7,0,10,0,0,22.7,0,20,19,3
0,3.6,69.3,27.1,1.5,24.6,58.7,0,15.2,0,0,20.8,0,20,19.9,3
0,0,92.9,7.1,0,15.7,68,0,16.3,0,0,22.7,0,21,18,3
0,14.2,64.4,21.4,0,14.5,65.5,0,20,0,23.8,19.8,0,17.4,12.9,3
17.9,17.9,35.6,28.6,0,0,80.2,0,19.8,0,24.6,22.2,0,19,16.8,3
0,0,82,18,0,15,73,3,9,0,20.6,18.3,0,27.2,25,2
3,3,68,26,0,0,26,0,74,0,25,23.9,0,27.6,17,15
0,3,88,9,0,0,18,3,79,0,27.1,20.9,0,27.7,18.6,15
4,11,82,4,3,24,58,0,15,0,0,24.9,0,21.5,16.6,13
0,6,76,18,0,9,76,6,9,0,0,21.9,0,27.7,21.1,5
17.9,21.4,32.1,28.6,0,5.9,84.6,0,9.5,0,0,21.1,0,28.5,24.2,1
3.6,14.3,60.7,21.4,0,14.2,77.5,0,8.3,0,0,20,0,25,19.2,1
0,3,91,6,0,0,12,18,70,0,23.2,22.2,0,27.1,19,15
0,0,91,9,0,0,15,9,76,0,22.6,21.2,0,21.4,18.2,15
17.9,21.4,35.7,25,0,7.8,56.7,0,35.5,0,20.9,17.4,0,20,14.6,3
3.6,10.7,50,35.7,0,8.8,74.4,0,16.8,0,20.7,17.3,0,19.6,13.7,3
3,12,50,35,0,44,56,0,0,0,0,20.3,0,27.7,20.2,5
0,18,59,24,0,6,74,0,20,0,20.6,18.7,0,24,20,5
3,14,52,31,0,12,71,0,17,0,19.8,18.3,0,26.1,222,5
5,15,41,39,0,32,68,0,0,0,0,21.5,0,30.9,20.1,18
6,21,47,26,0,12,79,0,9,0,0,18.9,0,29,18.2,18
0,3.5,85.8,10.7,0,9.5,40.6,6.1,43.8,0,20.5,19.5,0,27,18,2
0,3,65,32,0,9,29,29,33,0,25.2,21.8,0,25.4,18,2
0,9,74,18,0,6,12,15,67,0,22.1,21.4,0,24,17.4,2
3,9,67,21,0,21,44,0,35,0,22.6,21.3,0,30.4,16,2
3,13,53,31,0,13,71,0,16,0,22.8,18.9,0,25.4,20,15
0,3,85,12,0,15,85,0,0,0,0,22,0,25.5,17,15
3,18,44,35,0,0,41,3,56,0,24.2,19.3,0,27.5,20,15
3,26,41,29,0,3,47,3,47,0,21.9,20.4,0,28.6,20.9,15
0,3,68,29,0,0,21,35,44,0,19.2,17.3,0,30,20,15
0,6,74,21,0,21,53,0,26,0,22.3,19.4,0,25.4,18.4,16
18,24,32,26,0,3,21,15,61,0,25.7,22.1,0,22,20.7,16
0,4,82,14,0,10.5,79.5,0,10,0,22.7,19.9,0,20,16.3,5
3,5,76,16,0,21.6,72.4,0,6,0,0,20.8,0,23.6,19,5
9,12,59,21,0,16.5,68.3,0,15.2,0,0,20.1,0,26.9,22.2,5
0,6,76,18,18,44,38,0,0,0,0,21.2,0,30.5,24.8,5
0,3,76,21,12,62,26,0,0,0,0,20.4,0,30.7,23.5,5
5.8,5.8,73.7,14.7,0,11.7,71.5,0,16.8,0,0,21.7,0,21.5,15.5,5
0,5.8,88.4,5.8,0,20.8,69.9,0,9.3,0,0,23.9,0,24,19,5
3.4,6.8,76.1,13.7,0,10.8,73.8,0,15.4,0,0,21.7,0,28,21,5
6,12,44,38,3,32,65,0,0,0,0,22.4,0,27.2,25.2,5
0,3.6,89.3,7.1,0,15.8,71.3,0,12.9,0,0,20.4,0,28.2,25.2,5
0,3,88,9,35,53,12,0,0,0,0,21.2,0,26,21.2,5
10.7,35.7,14.3,39.3,0,0,70,4.1,25.9,0,22.6,21.2,0,25.2,17.4,3
0,4,71,25,0,0,15.9,22.6,61.5,0,20.6,0,22.1,24.5,18.9,3
0,7,85,7,0,0,0,80.1,19.9,0,18,0,22.1,26,21,3
0,11,61,29,0,0,8,6,86,0,22,20.7,0,17.2,15.5,3
11,21,61,7,9,18,34,3,36,0,23.1,20.3,0,23.6,15,3
0,11,86,4,0,0,7,6,87,0,19.6,18.9,0,28,23.4,3
6,25,47,22,0,10.4,16.1,0,73.5,0,22.6,21.4,0,28.1,24.8,3
4.7,5.8,73.7,8.8,0,7.9,71,0,21.1,0,21.3,20.1,0,23,17.2,3
0,12,74,15,0,16,70,0,14,0,0,23.3,0,25,15,3
0,3,73,24,6,36,58,0,0,0,0,21.7,0,27.5,23,5
3,3,79,15,3,32,55,0,10,0,0,22.6,0,26.6,19,5
0,3,85,12,19,29,48,0,4,0,0,20.7,0,28.6,15,5
0,3.6,78.6,17.8,0,2.9,80.4,0,16.7,0,22,20.8,0,27,22,5
0,3,85,12,0,6,88,0,6,0,0,22.1,0,27,20,5
3,6,57,34,0,0,20,0,80,0,21.8,18.5,0,25.4,18,5
0,12,58,30,0,0,60,0,40,0,22.3,20.1,0,25,17.1,5
6,9,59,26,0,0,18,5,77,0,24.8,22.3,0,28.5,23,5
3,12,59,26,0,0,24,0,76,0,23,21.2,0,30,22,5
7.1,10.7,67.9,14.3,0,15.1,56.1,0,28.8,0,21.1,18.4,0,22.1,18.2,3
0,0,71.4,28.6,0,0,18.6,10.6,70.8,0,21.3,18.2,0,26,22,3
4,7,79,10,0,0,4.6,24.7,70.7,0,17.5,0,21,24,16.8,3
4,7,82,7,0,0,8.3,18.1,73.6,0,17.8,0,19.3,26,14,3
4,4,85,7,0,35,41,0,24,0,0,18.5,0,26,17.4,3
3.6,10.7,57.1,28.6,0,0,55,4,41,0,22.9,19.3,0,28,22,3
0,0,76,24,0,6,64,4,26,0,21.3,17.2,0,29.5,20.9,3
0,6,50,44,0,0,15,12,73,0,23.1,19.2,0,27.8,22.4,3
3,9,76,12,0,18,37,0,45,0,22.2,19.4,0,27,23,3
0,0,71,29,0,6,41,6,47,0,0,16.6,0,25,16,3
0,12,70,18,12,22,51,3,12,0,0,23.2,0,26.5,16.2,3
3,19,47,31,3,12,45,12,28,0,18.8,17.4,0,28.2,14.5,3
0,14,50,36,0,24,29,13,34,0,20.2,19.1,0,27.5,22.1,3
0,0,0,0,38,56,6,0,0,0,0,18.8,0,23.3,19.3,3
3.6,3.6,82.1,10.7,0,13.6,66.4,0,20,0,0,21.5,0,21,15.9,3
3.6,10.7,57,28.6,0,8.4,69.7,0,21.9,0,0,21.5,0,25,20,3
6.4,29.3,41.9,22.5,1.6,12.9,64.6,0,20.9,0,0,22.4,0,29.7,23,3
10.5,13.1,55.4,21,0,16.2,53.6,0,30.2,0,0,22,0,27.4,18.3,3
2,6,53,38,0,4,81,0,15,0,0,22.1,0,27.8,17,3
0,9,68,24,18,12,44,0,26,0,0,23,0,28.2,20.4,3
0,16,66,18,4,5,55,0,36,0,21.3,17.6,0,28.5,19,3
0,4,76,20,4,14,72,0,10,0,0,21.9,0,30,27,3
7.1,14.3,42.9,35.7,0,19.1,72.3,0,8.6,0,0,21.7,0,19,14.2,3
0,10.7,75,14.3,0,11.3,79,0,9.7,0,0,21.2,0,20,16.1,3
11.3,24.4,42.9,21.4,0,16.4,73.6,0,10,0,0,21.1,0,19,19,3
0,3.4,86.3,10.3,0,8.1,75,0,16.9,0,21.1,19.4,0,16,12.8,3
0,3.6,82.1,14.3,0,9.6,73.1,0,17.3,0,20.9,17.6,0,16.8,15.4,3
0,0,73.4,26.6,0,19.5,70.5,0,10,0,0,21.5,0,17.6,14.6,3
0,3.6,64.3,32.1,0,12.2,67.8,0,20,0,20.9,18.4,0,17.8,16.1,3
14.3,17.9,46.4,21.4,0,11.5,68.5,0,20,0,21.5,18,0,19,18.3,3
0,3.6,92.8,3.6,0,12.4,80.3,0,7.3,0,0,21.7,0,19.4,16,3
3.6,7.1,67.9,21.4,0,12.6,71.5,0,15.9,0,21.8,18.9,0,21.9,18.8,3
16.7,23.3,26.7,23.3,0,14.3,79.2,0,6.5,0,0,21.8,0,26,19.5,3
0,8.8,73.6,17.6,0,12,70,0,18,0,20.9,18.1,0,28,24,3
0,7.2,74.9,17.9,0,0,85,0,15,0,19.3,17.8,0,28,23.2,3
3,6,56,35,0,6,56,0,38,0,23.4,20.7,0,23.1,18,5
3,3,56,38,0,0,65,0,35,0,19.9,18.4,0,27.4,19,5
12,26,36,26,0,64,36,0,0,0,0,21,0,27.4,22,5
6,9,56,29,0,3,59,0,38,0,20.3,18.4,0,26,18,5
3,15,56,26,0,0,68,0,32,0,21.7,19.1,0,29.5,21,5
0,9,65,26,0,0,74,0,26,0,22.2,21.2,0,30.2,22.9,5
3,18,61,18,0,6,59,3,32,0,21.4,18.5,0,19.8,16.2,5
3,9,75,13,0,0,38,6,56,0,23.8,20.5,0,27,20.4,15
3,5,82,10,0,6,42,0,52,0,22.3,20.8,0,23.5,16,15
0,0,89,11,0,6,59,3,32,0,20.1,19.3,0,27.8,25.5,3
6,9,65,21,0,12.1,57.6,2.1,28.2,0,21.8,18.6,0,28.8,20,3
5.8,14.2,61.6,18.4,0,10.3,71,0,18.7,0,23.4,19.2,0,27.1,19,13
0,12,64,24,0,21,62,5,12,0,0,24.3,0,27.2,21.9,13
0,12,76,12,0,12,79,0,9,0,0,24.3,0,0,23.5,13
0,15,53,32,0,18,69,0,13,0,0,23.1,0,26.4,19.6,13
0,3,88,9,3,44,53,0,0,0,0,20.5,0,21.6,14.4,5
3,6,82,9,0,32,68,0,0,0,0,21.5,0,27.2,19.8,5
0,15,47,38,0,38,59,0,3,0,0,19.6,0,27.8,23.6,5
0,3,73,24,0,6,74,0,20,0,20.7,20,0,24.2,17.2,5
0,17.6,47.2,35.2,0,5.4,83.2,0,11.4,0,25.1,18.3,0,23.3,14,13
3,12,68,18,0,19,69,3,9,0,0,23.7,0,28.3,19,13
0,0,76,24,0,18,70,0,12,0,0,24.7,0,25.5,20.3,13
3,6,79,12,0,41,56,0,3,0,0,23.5,0,27.5,22.1,13
9,18,53,21,0,0,68,0,32,0,23.5,21.4,0,28.5,24,13
3,15,65,18,0,6,62,0,32,0,25.2,20.6,0,18.9,17,13
3,3,73,21,0,6,65,0,29,0,25.7,21.2,0,25.2,21.5,13
0,12,65,24,0,3,37,3,57,0,24.1,20.1,0,25.7,17.4,13
6,26,38,29,0,0,65,0,35,0,24.5,18.7,0,27.2,22.6,13
10,26,32,32,0,0,31,9,60,0,26.4,21.6,0,28.1,18.9,13
3,18,46,32,0,38,62,0,0,0,0,21.4,0,26.9,21.8,5
3,3,71,24,0,44,53,0,3,0,0,20.7,0,27.7,22,5
0,7.1,68,25,0,12.2,63.3,0,24.5,0,21.4,18.6,0,24,20,5
17.9,17.9,35.6,28.6,0,7.5,83,0,9.5,0,0,22.6,0,25,19.1,3
8.8,17.9,52.7,20.5,0,9,82,0,9,0,0,20.8,0,28,22.1,3
3.6,10.7,75,10.7,0,3,74.1,0,22.9,0,21.2,19.9,0,25,16.5,3
0,0,50,50,0,9.1,63.7,0,27.2,0,19.6,17.2,0,26.7,21.5,3
10.7,14.2,53.7,21.4,0,7.6,73.2,0,19.2,0,20.6,17.5,0,23.2,16.5,3
14.3,14.3,50,21.4,0,0,15.5,11.6,72.9,0,22,17.4,0,27.5,23,3
0,14.2,60.8,25,0,6.3,73.7,0,20,0,22.3,17.9,0,16.5,14.8,3
7,18,57,18,0,0,17.7,11.1,71.2,0,22.3,19.4,0,24,22,3
0,14,75,11,0,0,18.3,15.1,66.6,0,22.5,21.1,0,26,21.6,3
7.1,14.3,64.2,14.3,0,6.1,85.5,0,8.4,0,21.7,17.2,0,18.3,13.3,3
0,6,73,21,0,0,79,0,21,0,23,21.5,0,26,22.8,16
0,3,85,12,0,9,76,0,15,0,24.1,22,0,25.5,14,16
0,6,82,12,3,12,64,0,21,0,21.1,18.7,0,26.5,15,16
3,6,75,16,3,16,75,3,3,0,0,21.2,0,28.3,20.4,16
